Cholera,A00-Cholera
"Poranenie bicyklistu pri zrážke s pevným alebo nepohyblivým predmetom, poranenie bližšie neurčeného bicyklistu pri dopravnej nehode",V17.9-Poranenie bicyklistu pri zrážke s pevným
Poranenie bicyklistu pri dopravnej nehode bez zrážky,V18-Poranenie bicyklistu pri dopravnej nehod
"Poranenie bicyklistu pri dopravnej nehode bez zrážky, poranenie vodiča pri nedopravnej nehode",V18.0-Poranenie bicyklistu pri dopravnej nehod
"Poranenie bicyklistu pri dopravnej nehode bez zrážky, poranenie cestujúceho pri nedopravnej nehode",V18.1-Poranenie bicyklistu pri dopravnej nehod
"Poranenie bicyklistu pri dopravnej nehode bez zrážky, poranenie bližšie neurčeného bicyklistu pri nedopravnej nehode",V18.2-Poranenie bicyklistu pri dopravnej nehod
"Poranenie bicyklistu pri dopravnej nehode bez zrážky, poranenie osoby počas nastupovania alebo vystupovania",V18.3-Poranenie bicyklistu pri dopravnej nehod
"Poranenie bicyklistu pri dopravnej nehode bez zrážky, poranenie vodiča pri dopravnej nehode",V18.4-Poranenie bicyklistu pri dopravnej nehod
"Poranenie bicyklistu pri dopravnej nehode bez zrážky, poranenie cestujúceho pri dopravnej nehode",V18.5-Poranenie bicyklistu pri dopravnej nehod
"Poranenie bicyklistu pri dopravnej nehode bez zrážky, poranenie bližšie neurčeného bicyklistu pri dopravnej nehode",V18.9-Poranenie bicyklistu pri dopravnej nehod
Poranenie bicyklistu pri iných a bližšie neurčených dopravných nehodách,V19-Poranenie bicyklistu pri iných a bližšie
Poranenie vodiča pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri nedopravnej nehode,V19.0-Poranenie vodiča pri zrážke s inými a bl
Poranenie cestujúceho pri zrážke s iným a bližšie neurčeným motorovým vozidlom pri nedopravnej nehode,V19.1-Poranenie cestujúceho pri zrážke s iným 
Poranenie bližšie neurčeného bicyklistu pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri nedopravnej nehode,V19.2-Poranenie bližšie neurčeného bicyklistu 
Poranenie bicyklistu (ktoréhokoľvek) pri bližšie neurčenej nedopravnej nehode,V19.3-Poranenie bicyklistu (ktoréhokoľvek) pri
Poranenie vodiča pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri dopravnej nehode,V19.4-Poranenie vodiča pri zrážke s inými a bl
Poranenie cestujúceho pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri dopravnej nehode,V19.5-Poranenie cestujúceho pri zrážke s inými
Poranenie bližšie neurčeného bicyklistu pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri dopravnej nehode,V19.6-Poranenie bližšie neurčeného bicyklistu 
Poranenie bicyklistu (ktoréhokoľvek) pri iných bližšie určených dopravných nehodách,V19.8-Poranenie bicyklistu (ktoréhokoľvek) pri
Poranenie bicyklistu (ktoréhokoľvek) pri bližšie neurčenej dopravnej nehode,V19.9-Poranenie bicyklistu (ktoréhokoľvek) pri
Poranenie jazdca na motocykli pri zrážke s chodcom alebo so zvieraťom,V20-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s chodcom alebo so zvieraťom, poranenie vodiča pri nedopravnej nehode",V20.0-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s chodcom alebo so zvieraťom, poranenie cestujúceho pri nedopravnej nehode",V20.1-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s chodcom alebo so zvieraťom, poranenie bližšie neurčeného jazdca na motocykli pri nedopravnej nehode",V20.2-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s chodcom alebo so zvieraťom, poranenie osoby počas nastupovania alebo vystupovania",V20.3-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s chodcom alebo so zvieraťom, poranenie vodiča pri dopravnej nehode",V20.4-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s chodcom alebo so zvieraťom, poranenie cestujúceho pri dopravnej nehode",V20.5-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s chodcom alebo so zvieraťom, poranenie bližšie neurčeného jazdca na motocykli pri dopravnej nehode",V20.9-Poranenie jazdca na motocykli pri zrážke
Poranenie jazdca na motocykli pri zrážke bicyklistom,V21-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke bicyklistom, poranenie vodiča pri nedopravnej nehode",V21.0-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke bicyklistom, poranenie cestujúceho pri nedopravnej nehode",V21.1-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke bicyklistom, poranenie bližšie neurčeného jazdca na motocykli pri nedopravnej nehode",V21.2-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke bicyklistom, poranenie osoby počas nastupovania alebo vystupovania",V21.3-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke bicyklistom, poranenie vodiča pri dopravnej nehode",V21.4-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke bicyklistom, poranenie cestujúceho pri dopravnej nehode",V21.5-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke bicyklistom, poranenie bližšie neurčeného jazdca na motocykli pri dopravnej nehode",V21.9-Poranenie jazdca na motocykli pri zrážke
Poranenie jazdca na motocykli pri zrážke s dvojkolesovým alebo trojkolesovým motorovým vozidlom,V22-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie vodiča pri nedopravnej nehode",V22.0-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie cestujúceho pri nedopravnej nehode",V22.1-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie bližšie neurčeného jazdca na motocykli pri nedopravnej nehode",V22.2-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie osoby počas nastupovania alebo vystupovania",V22.3-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie vodiča pri dopravnej nehode",V22.4-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie cestujúceho pri dopravnej nehode",V22.5-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie bližšie neurčeného jazdca na motocykli pri dopravnej nehode",V22.9-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s osobným, dodávkovým alebo nákladným autom",V23-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie vodiča pri nedopravnej nehode",V23.0-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie cestujúceho pri nedopravnej nehode",V23.1-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie bližšie neurčeného jazdca na motocykli pri nedopravnej nehode",V23.2-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie osoby počas nastupovania alebo vystupovania",V23.3-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie vodiča pri dopravnej nehode",V23.4-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie cestujúceho pri dopravnej nehode",V23.5-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie bližšie neurčeného jazdca na motocykli pri dopravnej nehode",V23.9-Poranenie jazdca na motocykli pri zrážke
Poranenie jazdca na motocykli pri zrážke s kamiónom alebo autobusom,V24-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s kamiónom alebo autobusom, poranenie vodiča pri nedopravnej nehode",V24.0-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s kamiónom alebo autobusom, poranenie cestujúceho pri nedopravnej nehode",V24.1-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s kamiónom alebo autobusom, poranenie bližšie neurčeného jazdca na motocykli pri nedopravnej nehode",V24.2-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s kamiónom alebo autobusom, poranenie osoby počas nastupovania alebo vystupovania",V24.3-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s kamiónom alebo autobusom, poranenie vodiča pri dopravnej nehode",V24.4-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s kamiónom alebo autobusom, poranenie cestujúceho pri dopravnej nehode",V24.5-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s kamiónom alebo autobusom, poranenie bližšie neurčeného jazdca na motocykli pri dopravnej nehode",V24.9-Poranenie jazdca na motocykli pri zrážke
Poranenie jazdca na motocykli pri zrážke s vlakom alebo koľajovým vozidlom,V25-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s vlakom alebo koľajovým vozidlom, poranenie vodiča pri nedopravnej nehode",V25.0-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s vlakom alebo koľajovým vozidlom, poranenie cestujúceho pri nedopravnej nehode",V25.1-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s vlakom alebo koľajovým vozidlom, poranenie bližšie neurčeného jazdca na motocykli pri nedopravnej nehode",V25.2-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s vlakom alebo koľajovýcm vozidlo, poranenie osoby počas nastupovania alebo vystupovania",V25.3-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s vlakom alebo koľajovým vozidlom, poranenie vodiča pri dopravnej nehode",V25.4-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s vlakom alebo koľajovým vozidlom, poranenie cestujúceho pri dopravnej nehode",V25.5-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s vlakom alebo koľajovým vozidlom, poranenie bližšie neurčeného jazdca na motocykli pri dopravnej nehode",V25.9-Poranenie jazdca na motocykli pri zrážke
Poranenie jazdca na motocykli pri zrážke s iným nemotorovým vozidlom,V26-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s iným nemotorovým vozidlom, poranenie vodiča pri nedopravnej nehode",V26.0-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s iným nemotorovým vozidlom, poranenie cestujúceho pri nedopravnej nehode",V26.1-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s iným nemotorovým vozidlom, poranenie bližšie neurčeného jazdca na motocykli pri nedopravnej nehode",V26.2-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s iným nemotorovým vozidlom, poranenie osoby počas nastupovania alebo vystupovania",V26.3-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s iným nemotorovým vozidlom, poranenie vodiča pri dopravnej nehode",V26.4-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s iným nemotorovým vozidlom, poranenie cestujúceho pri dopravnej nehode",V26.5-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s iným nemotorovým vozidlom, poranenie bližšie neurčeného jazdca na motocykli pri dopravnej nehode",V26.9-Poranenie jazdca na motocykli pri zrážke
Poranenie jazdca na motocykli pri zrážke s pevným alebo nepohyblivým predmetom,V27-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s pevným alebo nepohyblivým predmetom, poranenie vodiča pri nedopravnej nehode",V27.0-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s pevným alebo nepohyblivým predmetom, poranenie cestujúceho pri nedopravnej nehode",V27.1-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s pevným alebo nepohyblivým predmetom, poranenie bližšie neurčeného jazdca na motocykli pri nedopravnej nehode",V27.2-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s pevným alebo nepohyblivým predmetom, poranenie osoby počas nastupovania alebo vystupovania",V27.3-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s pevným alebo nepohyblivým predmetom, poranenie vodiča pri dopravnej nehode",V27.4-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s pevným alebo nepohyblivým predmetom, poranenie cestujúceho pri dopravnej nehode",V27.5-Poranenie jazdca na motocykli pri zrážke
"Poranenie jazdca na motocykli pri zrážke s pevným alebo nepohyblivým predmetom, poranenie bližšie neurčeného jazdca na motocykli pri dopravnej nehode",V27.9-Poranenie jazdca na motocykli pri zrážke
Poranenie jazdca na motocykli pri dopravnej nehode bez zrážky,V28-Poranenie jazdca na motocykli pri doprav
"Poranenie jazdca na motocykli pri dopravnej nehode bez zrážky, poranenie vodiča pri nedopravnej nehode",V28.0-Poranenie jazdca na motocykli pri doprav
"Poranenie jazdca na motocykli pri dopravnej nehode bez zrážky, poranenie cestujúceho pri nedopravnej nehode",V28.1-Poranenie jazdca na motocykli pri doprav
"Poranenie jazdca na motocykli pri dopravnej nehode bez zrážky, poranenie bližšie neurčeného jazdca na motocykli pri nedopravnej nehode",V28.2-Poranenie jazdca na motocykli pri doprav
"Poranenie jazdca na motocykli pri dopravnej nehode bez zrážky, poranenie osoby počas nastupovania alebo vystupovania",V28.3-Poranenie jazdca na motocykli pri doprav
"Poranenie jazdca na motocykli pri dopravnej nehode bez zrážky, poranenie vodiča pri dopravnej nehode",V28.4-Poranenie jazdca na motocykli pri doprav
"Poranenie jazdca na motocykli pri dopravnej nehode bez zrážky, poranenie cestujúceho pri dopravnej nehode",V28.5-Poranenie jazdca na motocykli pri doprav
"Poranenie jazdca na motocykli pri dopravnej nehode bez zrážky, poranenie bližšie neurčeného jazdca na motocykli pri dopravnej nehode",V28.9-Poranenie jazdca na motocykli pri doprav
Poranenie jazdca na motocykli pri iných a bližšie neurčených dopravných nehodách,V29-Poranenie jazdca na motocykli pri iných 
Poranenie vodiča pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri nedopravnej nehode,V29.0-Poranenie vodiča pri zrážke s inými a bl
Poranenie cestujúceho pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri nedopravnej nehode,V29.1-Poranenie cestujúceho pri zrážke s inými
Poranenie bližšie neurčeného jazdca na motocykli pri zrážke s inými a bližšie neurčeným motorovými vozidlami pri nedopravnej nehode,V29.2-Poranenie bližšie neurčeného jazdca na m
Poranenie jazdca na motocykli (ktoréhokoľvek) pri bližšie neurčenej nedopravnej nehode,V29.3-Poranenie jazdca na motocykli (ktoréhoko
Poranenie vodiča pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri dopravnej nehode,V29.4-Poranenie vodiča pri zrážke s inými a bl
Poranenie cestujúceho pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri dopravnej nehode,V29.5-Poranenie cestujúceho pri zrážke s inými
Poranenie bližšie neurčeného jazdca na motocykli pri zrážke s inými a bližšie neurčenými motorovými vozidlami pri dopravnej nehode,V29.6-Poranenie bližšie neurčeného jazdca na m
Poranenie jazdca na motocykli (ktoréhokoľvek) pri iných bližšie určených dopravných nehodách,V29.8-Poranenie jazdca na motocykli (ktoréhoko
Poranenie jazdca na motocykli (ktoréhokoľvek) pri bližšie neurčenej dopravnej nehode,V29.9-Poranenie jazdca na motocykli (ktoréhoko
Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo so zvieraťom,V30-Poranenie člena posádky trojkolesového m
"Poranenia člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo zvieraťom, poranenie vodiča pri nedopravnej nehode",V30.0-Poranenia člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo zvieraťom, poranenie cestujúceho pri nedopravnej nehode",V30.1-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo zvieraťom, poranenie osoby mimo vozidla pri nedopravenej nehode",V30.2-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo zvieraťom, poranenie bližšie neurčeného člena posádky trojkolesového motorového vozidla pri nedopravnej nehode",V30.3-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo zvieraťom, poranenie osoby počas nastupovania alebo vystupovania",V30.4-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo zvieraťom, poranenie vodiča pri dopravnej nehode",V30.5-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo zvieraťom, poranenie cestujúceho pri dopravnej nehode",V30.6-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo zvieraťom, poranenie osoby mimo vozidla pri dopravnej nehode",V30.7-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s chodcom alebo zvieraťom, poranenie bližšie neurčeného člena posádky trojkolesového motorového vozidla pri dopravnej nehode",V30.9-Poranenie člena posádky trojkolesového m
Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom,V31-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom, poranenie vodiča pri nedopravnej nehode",V31.0-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom, poranenie cestujúceho pri nedopravnej nehode",V31.1-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom, poranenie osoby mimo vozidla pri nedopravnej nehode",V31.2-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom, poranenie bližšie neurčeného člena posádky trojkolesového motorového vozidla pri nedopravnej nehode",V31.3-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom, poranenie osoby počas nastupovania alebo vystupovania",V31.4-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom, poranenie vodiča pri dopravnej nehode",V31.5-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom, poranenie cestujúceho pri dopravnej nehode",V31.6-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom, poranenie osoby mimo vozidla pri dopravnej nehode",V31.7-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s bicyklistom, poranenie bližšie neurčeného člena posádky trojkolesového motorového vozidla pri dopravnej nehode",V31.9-Poranenie člena posádky trojkolesového m
Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom,V32-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie vodiča pri nedopravnej nehode",V32.0-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie cestujúceho pri nedopravnej nehode",V32.1-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie osoby mimo vozidla pri nedopravnej nehode",V32.2-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie bližšie neurčeného člena posádky pri nedopravnej nehode",V32.3-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie osoby počas nastupovania alebo vystupovania",V32.4-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie vodiča pri dopravnej nehode",V32.5-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie cestujúceho pri dopravnej nehode",V32.6-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie osoby mimo vozidla pri dopravnej nehode",V32.7-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s iným dvojkolesovým alebo trojkolesovým motorovým vozidlom, poranenie bližšie neurčeného člena posádky pri dopravnej nehode",V32.9-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom",V33-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie vodiča pri nedopravnej nehode",V33.0-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie cestujúceho pri nedopravnej nehode",V33.1-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie osoby mimo vozidla pri nedopravnej nehode",V33.2-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie bližšie neurčeného člena posádky pri nedopravnej nehode",V33.3-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie osoby počas nastupovania alebo vystupovania",V33.4-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie vodiča pri dopravnej nehode",V33.5-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie cestujúceho pri dopravnej nehode",V33.6-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie osoby mimo vozidla pri dopravnej nehode",V33.7-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s osobným, dodávkovým alebo nákladným autom, poranenie bližšie neurčeného člena posádky pri dopravnej nehode",V33.9-Poranenie člena posádky trojkolesového m
Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom,V34-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom, poranenie vodiča pri nedopravnej nehode",V34.0-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom, poranenie cestujúceho pri nedopravnej nehode",V34.1-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom, poranenie osoby mimo vozidla pri nedopravnej nehode",V34.2-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom, poranenie bližšie neurčeného člena posádky trojkolesového motorového vozidla pri nedopravnej nehode",V34.3-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom, poranenie osoby počas nastupovania alebo vystupovania",V34.4-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom, poranenie vodiča pri dopravnej nehode",V34.5-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom, poranenie cestujúceho pri dopravnej nehode",V34.6-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom, poranenie osoby mimo vozidla pri dopravnej nehode",V34.7-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s kamiónom alebo autobusom, poranenie bližšie neurčeného člena posádky trojkolesového motorového vozidla pri dopravnej nehode",V34.9-Poranenie člena posádky trojkolesového m
Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom,V35-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom, poranenie vodiča pri nedopravnej nehode",V35.0-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom, poranenie cestujúceho pri nedopravnej nehode",V35.1-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom, poranenie osoby mimo vozidla pri nedopravnej nehode",V35.2-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom, poranenie bližšie neurčeného člena posádky pri nedopravnej nehode",V35.3-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom, poranenie osoby počas nastupovania alebo vystupovania",V35.4-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom, poranenie vodiča pri dopravnej nehode",V35.5-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom, poranenie cestujúceho pri dopravnej nehode",V35.6-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom, poranenie osoby mimo vozidla pri dopravnej nehode",V35.7-Poranenie člena posádky trojkolesového m
"Poranenie člena posádky trojkolesového motorového vozidla pri zrážke s vlakom alebo koľajovým vozidlom, poranenie bližšie neurčeného člena posádky pri dopravnej nehode",V35.9-Poranenie člena posádky trojkolesového m
