Cholera,A00-Cholera
Cestování a pohyb; jiná určená místa; jiné určené činnosti,X51.88-Cestování a pohyb; jiná určená místa; ji
Cestování a pohyb; jiná určená místa; neurčené činnosti,X51.89-Cestování a pohyb; jiná určená místa; ne
Cestování a pohyb; neurčené místo,X51.9-Cestování a pohyb; neurčené místo
Cestování a pohyb; neurčené místo; sport,X51.90-Cestování a pohyb; neurčené místo; sport
Cestování a pohyb; neurčené místo; volný čas,X51.91-Cestování a pohyb; neurčené místo; volný
Cestování a pohyb; neurčené místo; výdělečná činnost,X51.92-Cestování a pohyb; neurčené místo; výděl
Cestování a pohyb; neurčené místo; jiné práce,X51.93-Cestování a pohyb; neurčené místo; jiné 
Cestování a pohyb; neurčené místo; odpočinek‚ spánek‚ jídlo,X51.94-Cestování a pohyb; neurčené místo; odpoč
Cestování a pohyb; neurčené místo; jiné určené činnosti,X51.98-Cestování a pohyb; neurčené místo; jiné 
Cestování a pohyb; neurčené místo; neurčené činnosti,X51.99-Cestování a pohyb; neurčené místo; neurč
Prodloužený pobyt v beztížném prostředí,X52-Prodloužený pobyt v beztížném prostředí
Prodloužený pobyt v beztížném prostředí; domov,X52.0-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; domov; sport,X52.00-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; domov; volný čas,X52.01-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; domov; výdělečná činnost,X52.02-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; domov; jiné práce,X52.03-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; domov; odpočinek‚ spánek‚ jídlo,X52.04-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; domov; jiné určené činnosti,X52.08-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; domov; neurčené činnosti,X52.09-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; obytná instituce,X52.1-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; obytná instituce; sport,X52.10-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; obytná instituce; volný čas,X52.11-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; obytná instituce; výdělečná činnost,X52.12-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; obytná instituce; jiné práce,X52.13-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; obytná instituce; odpočinek‚ spánek‚ jídlo,X52.14-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; obytná instituce; jiné určené činnosti,X52.18-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; obytná instituce; neurčené činnosti,X52.19-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; školy‚ jiné instituce a veřejné správní prostory,X52.2-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; školy‚ jiné instituce a veřejné správní prostory; sport,X52.20-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; školy‚ jiné instituce a veřejné správní prostory; volný čas,X52.21-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; školy‚ jiné instituce a veřejné správní prostory; výdělečná činnost,X52.22-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; školy‚ jiné instituce a veřejné správní prostory; jiné práce,X52.23-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; školy‚ jiné instituce a veřejné správní prostory; odpočinek‚ spánek‚ jídlo,X52.24-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; školy‚ jiné instituce a veřejné správní prostory; jiné určené činnosti,X52.28-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; školy‚ jiné instituce a veřejné správní prostory; neurčené činnosti,X52.29-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; sportovní a atletické prostory,X52.3-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; sportovní a atletické prostory; sport,X52.30-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; sportovní a atletické prostory; volný čas,X52.31-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; sportovní a atletické prostory; výdělečná činnost,X52.32-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; sportovní a atletické prostory; jiné práce,X52.33-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; sportovní a atletické prostory; odpočinek‚ spánek‚ jídlo,X52.34-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; sportovní a atletické prostory; jiné určené činnosti,X52.38-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; sportovní a atletické prostory; neurčené činnosti,X52.39-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; ulice a silnice,X52.4-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; ulice a silnice; sport,X52.40-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; ulice a silnice; volný čas,X52.41-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; ulice a silnice; výdělečná činnost,X52.42-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; ulice a silnice; jiné práce,X52.43-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; ulice a silnice; odpočinek‚ spánek‚ jídlo,X52.44-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; ulice a silnice; jiné určené činnosti,X52.48-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; ulice a silnice; neurčené činnosti,X52.49-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory obchodu a služeb,X52.5-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory obchodu a služeb; sport,X52.50-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory obchodu a služeb; volný čas,X52.51-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory obchodu a služeb; výdělečná činnost,X52.52-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory obchodu a služeb; jiné práce,X52.53-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory obchodu a služeb; odpočinek‚ spánek‚ jídlo,X52.54-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory obchodu a služeb; jiné určené činnosti,X52.58-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory obchodu a služeb; neurčené činnosti,X52.59-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory průmyslové a stavební,X52.6-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory průmyslové a stavební; sport,X52.60-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory průmyslové a stavební; volný čas,X52.61-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory průmyslové a stavební; výdělečná činnost,X52.62-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory průmyslové a stavební; jiné práce,X52.63-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory průmyslové a stavební; odpočinek‚ spánek‚ jídlo,X52.64-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory průmyslové a stavební; jiné určené činnosti,X52.68-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; prostory průmyslové a stavební; neurčené činnosti,X52.69-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; zemědělství,X52.7-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; zemědělství; sport,X52.70-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; zemědělství; volný čas,X52.71-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; zemědělství; výdělečná činnost,X52.72-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; zemědělství; jiné práce,X52.73-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; zemědělství; odpočinek‚ spánek‚ jídlo,X52.74-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; zemědělství; jiné určené činnosti,X52.78-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; zemědělství; neurčené činnosti,X52.79-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; jiná určená místa,X52.8-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; jiná určená místa; sport,X52.80-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; jiná určená místa; volný čas,X52.81-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; jiná určená místa; výdělečná činnost,X52.82-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; jiná určená místa; jiné práce,X52.83-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; jiná určená místa; odpočinek‚ spánek‚ jídlo,X52.84-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; jiná určená místa; jiné určené činnosti,X52.88-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; jiná určená místa; neurčené činnosti,X52.89-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; neurčené místo,X52.9-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; neurčené místo; sport,X52.90-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; neurčené místo; volný čas,X52.91-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; neurčené místo; výdělečná činnost,X52.92-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; neurčené místo; jiné práce,X52.93-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; neurčené místo; odpočinek‚ spánek‚ jídlo,X52.94-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; neurčené místo; jiné určené činnosti,X52.98-Prodloužený pobyt v beztížném prostředí;
Prodloužený pobyt v beztížném prostředí; neurčené místo; neurčené činnosti,X52.99-Prodloužený pobyt v beztížném prostředí;
Nedostatek potravy,X53-Nedostatek potravy
Nedostatek potravy; domov,X53.0-Nedostatek potravy; domov
Nedostatek potravy; domov; sport,X53.00-Nedostatek potravy; domov; sport
Nedostatek potravy; domov; volný čas,X53.01-Nedostatek potravy; domov; volný čas
Nedostatek potravy; domov; výdělečná činnost,X53.02-Nedostatek potravy; domov; výdělečná čin
Nedostatek potravy; domov; jiné práce,X53.03-Nedostatek potravy; domov; jiné práce
Nedostatek potravy; domov; odpočinek‚ spánek‚ jídlo,X53.04-Nedostatek potravy; domov; odpočinek‚ sp
Nedostatek potravy; domov; jiné určené činnosti,X53.08-Nedostatek potravy; domov; jiné určené č
Nedostatek potravy; domov; neurčené činnosti,X53.09-Nedostatek potravy; domov; neurčené činn
Nedostatek potravy; obytná instituce,X53.1-Nedostatek potravy; obytná instituce
Nedostatek potravy; obytná instituce; sport,X53.10-Nedostatek potravy; obytná instituce; sp
Nedostatek potravy; obytná instituce; volný čas,X53.11-Nedostatek potravy; obytná instituce; vo
Nedostatek potravy; obytná instituce; výdělečná činnost,X53.12-Nedostatek potravy; obytná instituce; vý
Nedostatek potravy; obytná instituce; jiné práce,X53.13-Nedostatek potravy; obytná instituce; ji
Nedostatek potravy; obytná instituce; odpočinek‚ spánek‚ jídlo,X53.14-Nedostatek potravy; obytná instituce; od
Nedostatek potravy; obytná instituce; jiné určené činnosti,X53.18-Nedostatek potravy; obytná instituce; ji
Nedostatek potravy; obytná instituce; neurčené činnosti,X53.19-Nedostatek potravy; obytná instituce; ne
Nedostatek potravy; školy‚ jiné instituce a veřejné správní prostory,X53.2-Nedostatek potravy; školy‚ jiné instituc
Nedostatek potravy; školy‚ jiné instituce a veřejné správní prostory; sport,X53.20-Nedostatek potravy; školy‚ jiné instituc
Nedostatek potravy; školy‚ jiné instituce a veřejné správní prostory; volný čas,X53.21-Nedostatek potravy; školy‚ jiné instituc
Nedostatek potravy; školy‚ jiné instituce a veřejné správní prostory; výdělečná činnost,X53.22-Nedostatek potravy; školy‚ jiné instituc
Nedostatek potravy; školy‚ jiné instituce a veřejné správní prostory; jiné práce,X53.23-Nedostatek potravy; školy‚ jiné instituc
Nedostatek potravy; školy‚ jiné instituce a veřejné správní prostory; odpočinek‚ spánek‚ jídlo,X53.24-Nedostatek potravy; školy‚ jiné instituc
Nedostatek potravy; školy‚ jiné instituce a veřejné správní prostory; jiné určené činnosti,X53.28-Nedostatek potravy; školy‚ jiné instituc
Nedostatek potravy; školy‚ jiné instituce a veřejné správní prostory; neurčené činnosti,X53.29-Nedostatek potravy; školy‚ jiné instituc
Nedostatek potravy; sportovní a atletické prostory,X53.3-Nedostatek potravy; sportovní a atletick
Nedostatek potravy; sportovní a atletické prostory; sport,X53.30-Nedostatek potravy; sportovní a atletick
Nedostatek potravy; sportovní a atletické prostory; volný čas,X53.31-Nedostatek potravy; sportovní a atletick
Nedostatek potravy; sportovní a atletické prostory; výdělečná činnost,X53.32-Nedostatek potravy; sportovní a atletick
Nedostatek potravy; sportovní a atletické prostory; jiné práce,X53.33-Nedostatek potravy; sportovní a atletick
Nedostatek potravy; sportovní a atletické prostory; odpočinek‚ spánek‚ jídlo,X53.34-Nedostatek potravy; sportovní a atletick
Nedostatek potravy; sportovní a atletické prostory; jiné určené činnosti,X53.38-Nedostatek potravy; sportovní a atletick
Nedostatek potravy; sportovní a atletické prostory; neurčené činnosti,X53.39-Nedostatek potravy; sportovní a atletick
Nedostatek potravy; ulice a silnice,X53.4-Nedostatek potravy; ulice a silnice
Nedostatek potravy; ulice a silnice; sport,X53.40-Nedostatek potravy; ulice a silnice; spo
Nedostatek potravy; ulice a silnice; volný čas,X53.41-Nedostatek potravy; ulice a silnice; vol
Nedostatek potravy; ulice a silnice; výdělečná činnost,X53.42-Nedostatek potravy; ulice a silnice; výd
Nedostatek potravy; ulice a silnice; jiné práce,X53.43-Nedostatek potravy; ulice a silnice; jin
Nedostatek potravy; ulice a silnice; odpočinek‚ spánek‚ jídlo,X53.44-Nedostatek potravy; ulice a silnice; odp
Nedostatek potravy; ulice a silnice; jiné určené činnosti,X53.48-Nedostatek potravy; ulice a silnice; jin
Nedostatek potravy; ulice a silnice; neurčené činnosti,X53.49-Nedostatek potravy; ulice a silnice; neu
Nedostatek potravy; prostory obchodu a služeb,X53.5-Nedostatek potravy; prostory obchodu a s
Nedostatek potravy; prostory obchodu a služeb; sport,X53.50-Nedostatek potravy; prostory obchodu a s
Nedostatek potravy; prostory obchodu a služeb; volný čas,X53.51-Nedostatek potravy; prostory obchodu a s
Nedostatek potravy; prostory obchodu a služeb; výdělečná činnost,X53.52-Nedostatek potravy; prostory obchodu a s
Nedostatek potravy; prostory obchodu a služeb; jiné práce,X53.53-Nedostatek potravy; prostory obchodu a s
Nedostatek potravy; prostory obchodu a služeb; odpočinek‚ spánek‚ jídlo,X53.54-Nedostatek potravy; prostory obchodu a s
Nedostatek potravy; prostory obchodu a služeb; jiné určené činnosti,X53.58-Nedostatek potravy; prostory obchodu a s
Nedostatek potravy; prostory obchodu a služeb; neurčené činnosti,X53.59-Nedostatek potravy; prostory obchodu a s
Nedostatek potravy; prostory průmyslové a stavební,X53.6-Nedostatek potravy; prostory průmyslové 
Nedostatek potravy; prostory průmyslové a stavební; sport,X53.60-Nedostatek potravy; prostory průmyslové 
Nedostatek potravy; prostory průmyslové a stavební; volný čas,X53.61-Nedostatek potravy; prostory průmyslové 
Nedostatek potravy; prostory průmyslové a stavební; výdělečná činnost,X53.62-Nedostatek potravy; prostory průmyslové 
Nedostatek potravy; prostory průmyslové a stavební; jiné práce,X53.63-Nedostatek potravy; prostory průmyslové 
Nedostatek potravy; prostory průmyslové a stavební; odpočinek‚ spánek‚ jídlo,X53.64-Nedostatek potravy; prostory průmyslové 
Nedostatek potravy; prostory průmyslové a stavební; jiné určené činnosti,X53.68-Nedostatek potravy; prostory průmyslové 
Nedostatek potravy; prostory průmyslové a stavební; neurčené činnosti,X53.69-Nedostatek potravy; prostory průmyslové 
Nedostatek potravy; zemědělství,X53.7-Nedostatek potravy; zemědělství
Nedostatek potravy; zemědělství; sport,X53.70-Nedostatek potravy; zemědělství; sport
Nedostatek potravy; zemědělství; volný čas,X53.71-Nedostatek potravy; zemědělství; volný č
Nedostatek potravy; zemědělství; výdělečná činnost,X53.72-Nedostatek potravy; zemědělství; výděleč
Nedostatek potravy; zemědělství; jiné práce,X53.73-Nedostatek potravy; zemědělství; jiné pr
Nedostatek potravy; zemědělství; odpočinek‚ spánek‚ jídlo,X53.74-Nedostatek potravy; zemědělství; odpočin
Nedostatek potravy; zemědělství; jiné určené činnosti,X53.78-Nedostatek potravy; zemědělství; jiné ur
Nedostatek potravy; zemědělství; neurčené činnosti,X53.79-Nedostatek potravy; zemědělství; neurčen
Nedostatek potravy; jiná určená místa,X53.8-Nedostatek potravy; jiná určená místa
Nedostatek potravy; jiná určená místa; sport,X53.80-Nedostatek potravy; jiná určená místa; s
Nedostatek potravy; jiná určená místa; volný čas,X53.81-Nedostatek potravy; jiná určená místa; v
Nedostatek potravy; jiná určená místa; výdělečná činnost,X53.82-Nedostatek potravy; jiná určená místa; v
Nedostatek potravy; jiná určená místa; jiné práce,X53.83-Nedostatek potravy; jiná určená místa; j
Nedostatek potravy; jiná určená místa; odpočinek‚ spánek‚ jídlo,X53.84-Nedostatek potravy; jiná určená místa; o
Nedostatek potravy; jiná určená místa; jiné určené činnosti,X53.88-Nedostatek potravy; jiná určená místa; j
Nedostatek potravy; jiná určená místa; neurčené činnosti,X53.89-Nedostatek potravy; jiná určená místa; n
Nedostatek potravy; neurčené místo,X53.9-Nedostatek potravy; neurčené místo
Nedostatek potravy; neurčené místo; sport,X53.90-Nedostatek potravy; neurčené místo; spor
Nedostatek potravy; neurčené místo; volný čas,X53.91-Nedostatek potravy; neurčené místo; voln
Nedostatek potravy; neurčené místo; výdělečná činnost,X53.92-Nedostatek potravy; neurčené místo; výdě
Nedostatek potravy; neurčené místo; jiné práce,X53.93-Nedostatek potravy; neurčené místo; jiné
Nedostatek potravy; neurčené místo; odpočinek‚ spánek‚ jídlo,X53.94-Nedostatek potravy; neurčené místo; odpo
Nedostatek potravy; neurčené místo; jiné určené činnosti,X53.98-Nedostatek potravy; neurčené místo; jiné
Nedostatek potravy; neurčené místo; neurčené činnosti,X53.99-Nedostatek potravy; neurčené místo; neur
Nedostatek vody,X54-Nedostatek vody
Nedostatek vody; domov,X54.0-Nedostatek vody; domov
Nedostatek vody; domov; sport,X54.00-Nedostatek vody; domov; sport
Nedostatek vody; domov; volný čas,X54.01-Nedostatek vody; domov; volný čas
Nedostatek vody; domov; výdělečná činnost,X54.02-Nedostatek vody; domov; výdělečná činnos
Nedostatek vody; domov; jiné práce,X54.03-Nedostatek vody; domov; jiné práce
Nedostatek vody; domov; odpočinek‚ spánek‚ jídlo,X54.04-Nedostatek vody; domov; odpočinek‚ spáne
Nedostatek vody; domov; jiné určené činnosti,X54.08-Nedostatek vody; domov; jiné určené činn
Nedostatek vody; domov; neurčené činnosti,X54.09-Nedostatek vody; domov; neurčené činnost
Nedostatek vody; obytná instituce,X54.1-Nedostatek vody; obytná instituce
Nedostatek vody; obytná instituce; sport,X54.10-Nedostatek vody; obytná instituce; sport
Nedostatek vody; obytná instituce; volný čas,X54.11-Nedostatek vody; obytná instituce; volný
Nedostatek vody; obytná instituce; výdělečná činnost,X54.12-Nedostatek vody; obytná instituce; výděl
Nedostatek vody; obytná instituce; jiné práce,X54.13-Nedostatek vody; obytná instituce; jiné 
Nedostatek vody; obytná instituce; odpočinek‚ spánek‚ jídlo,X54.14-Nedostatek vody; obytná instituce; odpoč
Nedostatek vody; obytná instituce; jiné určené činnosti,X54.18-Nedostatek vody; obytná instituce; jiné 
Nedostatek vody; obytná instituce; neurčené činnosti,X54.19-Nedostatek vody; obytná instituce; neurč
Nedostatek vody; školy‚ jiné instituce a veřejné správní prostory,X54.2-Nedostatek vody; školy‚ jiné instituce a
Nedostatek vody; školy‚ jiné instituce a veřejné správní prostory; sport,X54.20-Nedostatek vody; školy‚ jiné instituce a
Nedostatek vody; školy‚ jiné instituce a veřejné správní prostory; volný čas,X54.21-Nedostatek vody; školy‚ jiné instituce a
Nedostatek vody; školy‚ jiné instituce a veřejné správní prostory; výdělečná činnost,X54.22-Nedostatek vody; školy‚ jiné instituce a
Nedostatek vody; školy‚ jiné instituce a veřejné správní prostory; jiné práce,X54.23-Nedostatek vody; školy‚ jiné instituce a
Nedostatek vody; školy‚ jiné instituce a veřejné správní prostory; odpočinek‚ spánek‚ jídlo,X54.24-Nedostatek vody; školy‚ jiné instituce a
Nedostatek vody; školy‚ jiné instituce a veřejné správní prostory; jiné určené činnosti,X54.28-Nedostatek vody; školy‚ jiné instituce a
Nedostatek vody; školy‚ jiné instituce a veřejné správní prostory; neurčené činnosti,X54.29-Nedostatek vody; školy‚ jiné instituce a
Nedostatek vody; sportovní a atletické prostory,X54.3-Nedostatek vody; sportovní a atletické p
Nedostatek vody; sportovní a atletické prostory; sport,X54.30-Nedostatek vody; sportovní a atletické p
Nedostatek vody; sportovní a atletické prostory; volný čas,X54.31-Nedostatek vody; sportovní a atletické p
Nedostatek vody; sportovní a atletické prostory; výdělečná činnost,X54.32-Nedostatek vody; sportovní a atletické p
Nedostatek vody; sportovní a atletické prostory; jiné práce,X54.33-Nedostatek vody; sportovní a atletické p
Nedostatek vody; sportovní a atletické prostory; odpočinek‚ spánek‚ jídlo,X54.34-Nedostatek vody; sportovní a atletické p
Nedostatek vody; sportovní a atletické prostory; jiné určené činnosti,X54.38-Nedostatek vody; sportovní a atletické p
Nedostatek vody; sportovní a atletické prostory; neurčené činnosti,X54.39-Nedostatek vody; sportovní a atletické p
Nedostatek vody; ulice a silnice,X54.4-Nedostatek vody; ulice a silnice
Nedostatek vody; ulice a silnice; sport,X54.40-Nedostatek vody; ulice a silnice; sport
Nedostatek vody; ulice a silnice; volný čas,X54.41-Nedostatek vody; ulice a silnice; volný 
Nedostatek vody; ulice a silnice; výdělečná činnost,X54.42-Nedostatek vody; ulice a silnice; výděle
Nedostatek vody; ulice a silnice; jiné práce,X54.43-Nedostatek vody; ulice a silnice; jiné p
Nedostatek vody; ulice a silnice; odpočinek‚ spánek‚ jídlo,X54.44-Nedostatek vody; ulice a silnice; odpoči
Nedostatek vody; ulice a silnice; jiné určené činnosti,X54.48-Nedostatek vody; ulice a silnice; jiné u
Nedostatek vody; ulice a silnice; neurčené činnosti,X54.49-Nedostatek vody; ulice a silnice; neurče
Nedostatek vody; prostory obchodu a služeb,X54.5-Nedostatek vody; prostory obchodu a služ
Nedostatek vody; prostory obchodu a služeb; sport,X54.50-Nedostatek vody; prostory obchodu a služ
Nedostatek vody; prostory obchodu a služeb; volný čas,X54.51-Nedostatek vody; prostory obchodu a služ
Nedostatek vody; prostory obchodu a služeb; výdělečná činnost,X54.52-Nedostatek vody; prostory obchodu a služ
Nedostatek vody; prostory obchodu a služeb; jiné práce,X54.53-Nedostatek vody; prostory obchodu a služ
Nedostatek vody; prostory obchodu a služeb; odpočinek‚ spánek‚ jídlo,X54.54-Nedostatek vody; prostory obchodu a služ
Nedostatek vody; prostory obchodu a služeb; jiné určené činnosti,X54.58-Nedostatek vody; prostory obchodu a služ
Nedostatek vody; prostory obchodu a služeb; neurčené činnosti,X54.59-Nedostatek vody; prostory obchodu a služ
Nedostatek vody; prostory průmyslové a stavební,X54.6-Nedostatek vody; prostory průmyslové a s
Nedostatek vody; prostory průmyslové a stavební; sport,X54.60-Nedostatek vody; prostory průmyslové a s
Nedostatek vody; prostory průmyslové a stavební; volný čas,X54.61-Nedostatek vody; prostory průmyslové a s
Nedostatek vody; prostory průmyslové a stavební; výdělečná činnost,X54.62-Nedostatek vody; prostory průmyslové a s
Nedostatek vody; prostory průmyslové a stavební; jiné práce,X54.63-Nedostatek vody; prostory průmyslové a s
Nedostatek vody; prostory průmyslové a stavební; odpočinek‚ spánek‚ jídlo,X54.64-Nedostatek vody; prostory průmyslové a s
Nedostatek vody; prostory průmyslové a stavební; jiné určené činnosti,X54.68-Nedostatek vody; prostory průmyslové a s
Nedostatek vody; prostory průmyslové a stavební; neurčené činnosti,X54.69-Nedostatek vody; prostory průmyslové a s
Nedostatek vody; zemědělství,X54.7-Nedostatek vody; zemědělství
Nedostatek vody; zemědělství; sport,X54.70-Nedostatek vody; zemědělství; sport
Nedostatek vody; zemědělství; volný čas,X54.71-Nedostatek vody; zemědělství; volný čas
Nedostatek vody; zemědělství; výdělečná činnost,X54.72-Nedostatek vody; zemědělství; výdělečná 
Nedostatek vody; zemědělství; jiné práce,X54.73-Nedostatek vody; zemědělství; jiné práce
Nedostatek vody; zemědělství; odpočinek‚ spánek‚ jídlo,X54.74-Nedostatek vody; zemědělství; odpočinek‚
Nedostatek vody; zemědělství; jiné určené činnosti,X54.78-Nedostatek vody; zemědělství; jiné určen
Nedostatek vody; zemědělství; neurčené činnosti,X54.79-Nedostatek vody; zemědělství; neurčené č
Nedostatek vody; jiná určená místa,X54.8-Nedostatek vody; jiná určená místa
Nedostatek vody; jiná určená místa; sport,X54.80-Nedostatek vody; jiná určená místa; spor
Nedostatek vody; jiná určená místa; volný čas,X54.81-Nedostatek vody; jiná určená místa; voln
Nedostatek vody; jiná určená místa; výdělečná činnost,X54.82-Nedostatek vody; jiná určená místa; výdě
Nedostatek vody; jiná určená místa; jiné práce,X54.83-Nedostatek vody; jiná určená místa; jiné
Nedostatek vody; jiná určená místa; odpočinek‚ spánek‚ jídlo,X54.84-Nedostatek vody; jiná určená místa; odpo
Nedostatek vody; jiná určená místa; jiné určené činnosti,X54.88-Nedostatek vody; jiná určená místa; jiné
Nedostatek vody; jiná určená místa; neurčené činnosti,X54.89-Nedostatek vody; jiná určená místa; neur
Nedostatek vody; neurčené místo,X54.9-Nedostatek vody; neurčené místo
Nedostatek vody; neurčené místo; sport,X54.90-Nedostatek vody; neurčené místo; sport
Nedostatek vody; neurčené místo; volný čas,X54.91-Nedostatek vody; neurčené místo; volný č
Nedostatek vody; neurčené místo; výdělečná činnost,X54.92-Nedostatek vody; neurčené místo; výděleč
Nedostatek vody; neurčené místo; jiné práce,X54.93-Nedostatek vody; neurčené místo; jiné pr
Nedostatek vody; neurčené místo; odpočinek‚ spánek‚ jídlo,X54.94-Nedostatek vody; neurčené místo; odpočin
Nedostatek vody; neurčené místo; jiné určené činnosti,X54.98-Nedostatek vody; neurčené místo; jiné ur
Nedostatek vody; neurčené místo; neurčené činnosti,X54.99-Nedostatek vody; neurčené místo; neurčen
